find_path (standard_library_root "vector" PATHS ${CMAKE_CXX_STANDARD_INCLUDE_DIRECTORIES})

if (NOT standard_library_root)
    message (FATAL_ERROR "Could not find c++ standard library include path. Please check CMAKE_CXX_STANDARD_INCLUDE_DIRECTORIES.")
endif ()

add_library (Standard_library)

set_target_properties (Standard_library PROPERTIES LINKER_LANGUAGE CXX)

target_header (Standard_library PUBLIC "algorithm" "${standard_library_root}/algorithm")
target_header (Standard_library PUBLIC "any" "${standard_library_root}/any")
target_header (Standard_library PUBLIC "array" "${standard_library_root}/array")
target_header (Standard_library PUBLIC "cassert" "${standard_library_root}/cassert")
target_header (Standard_library PUBLIC "compare" "${standard_library_root}/compare")
target_header (Standard_library PUBLIC "concepts" "${standard_library_root}/concepts")
target_header (Standard_library PUBLIC "cmath" "${standard_library_root}/cmath")
target_header (Standard_library PUBLIC "cstddef" "${standard_library_root}/cstddef")
target_header (Standard_library PUBLIC "cstdint" "${standard_library_root}/cstdint")
target_header (Standard_library PUBLIC "cstdlib" "${standard_library_root}/cstdlib")
target_header (Standard_library PUBLIC "cstring" "${standard_library_root}/cstring")
target_header (Standard_library PUBLIC "bitset" "${standard_library_root}/bitset")
target_header (Standard_library PUBLIC "deque" "${standard_library_root}/deque")
target_header (Standard_library PUBLIC "exception" "${standard_library_root}/exception")
target_header (Standard_library PUBLIC "filesystem" "${standard_library_root}/filesystem")
target_header (Standard_library PUBLIC "fstream" "${standard_library_root}/fstream")
target_header (Standard_library PUBLIC "functional" "${standard_library_root}/functional")
target_header (Standard_library PUBLIC "future" "${standard_library_root}/future")
target_header (Standard_library PUBLIC "iosfwd" "${standard_library_root}/iosfwd")
target_header (Standard_library PUBLIC "iostream" "${standard_library_root}/iostream")
target_header (Standard_library PUBLIC "istream" "${standard_library_root}/istream")
target_header (Standard_library PUBLIC "iterator" "${standard_library_root}/iterator")
target_header (Standard_library PUBLIC "limits" "${standard_library_root}/limits")
target_header (Standard_library PUBLIC "map" "${standard_library_root}/map")
target_header (Standard_library PUBLIC "memory" "${standard_library_root}/memory")
target_header (Standard_library PUBLIC "memory_resource" "${standard_library_root}/memory_resource")
target_header (Standard_library PUBLIC "mutex" "${standard_library_root}/mutex")
target_header (Standard_library PUBLIC "numeric" "${standard_library_root}/numeric")
target_header (Standard_library PUBLIC "optional" "${standard_library_root}/optional")
target_header (Standard_library PUBLIC "ostream" "${standard_library_root}/ostream")
target_header (Standard_library PUBLIC "ranges" "${standard_library_root}/ranges")
target_header (Standard_library PUBLIC "span" "${standard_library_root}/span")
target_header (Standard_library PUBLIC "sstream" "${standard_library_root}/sstream")
target_header (Standard_library PUBLIC "string" "${standard_library_root}/string")
target_header (Standard_library PUBLIC "string_view" "${standard_library_root}/string_view")
target_header (Standard_library PUBLIC "tuple" "${standard_library_root}/tuple")
target_header (Standard_library PUBLIC "type_traits" "${standard_library_root}/type_traits")
target_header (Standard_library PUBLIC "unordered_map" "${standard_library_root}/unordered_map")
target_header (Standard_library PUBLIC "utility" "${standard_library_root}/utility")
target_header (Standard_library PUBLIC "variant" "${standard_library_root}/variant")
target_header (Standard_library PUBLIC "vector" "${standard_library_root}/vector")
